"Drama","Episode","Day","Day_1"
"真愛找麻煩",1,"星期二",2
"真愛找麻煩",2,"星期三",3
"真愛找麻煩",3,"星期四",5
"真愛找麻煩",4,"星期五",4
"真愛找麻煩",5,"星期一",1
"真愛找麻煩",6,"星期二",2
"真愛找麻煩",7,"星期三",3
"真愛找麻煩",8,"星期四",5
"真愛找麻煩",9,"星期五",4
"真愛找麻煩",10,"星期一",1
"真愛找麻煩",11,"星期二",2
"真愛找麻煩",12,"星期三",3
"真愛找麻煩",13,"星期四",5
"真愛找麻煩",14,"星期五",4
"真愛找麻煩",15,"星期一",1
"真愛找麻煩",16,"星期二",2
"真愛找麻煩",17,"星期三",3
"真愛找麻煩",18,"星期四",5
"真愛找麻煩",19,"星期五",4
"真愛找麻煩",20,"星期一",1
"真愛找麻煩",21,"星期二",2
"真愛找麻煩",22,"星期三",3
"真愛找麻煩",23,"星期四",5
"真愛找麻煩",24,"星期五",4
"真愛找麻煩",25,"星期一",1
"真愛找麻煩",26,"星期二",2
"真愛找麻煩",27,"星期三",3
"真愛找麻煩",28,"星期四",5
"真愛找麻煩",29,"星期五",4
"真愛找麻煩",30,"星期二",2
"真愛找麻煩",31,"星期三",3
"真愛找麻煩",32,"星期四",5
"真愛找麻煩",33,"星期五",4
"真愛找麻煩",34,"星期一",1
"真愛找麻煩",35,"星期二",2
"真愛找麻煩",36,"星期三",3
"真愛找麻煩",37,"星期四",5
"真愛找麻煩",38,"星期五",4
"真愛找麻煩",39,"星期一",1
"真愛找麻煩",40,"星期二",2
"真愛找麻煩",41,"星期三",3
"真愛找麻煩",42,"星期四",5
"真愛找麻煩",43,"星期五",4
"真愛找麻煩",44,"星期一",1
"真愛找麻煩",45,"星期二",2
"真愛找麻煩",46,"星期三",3
"真愛找麻煩",47,"星期四",5
"真愛找麻煩",48,"星期五",4
"真愛找麻煩",49,"星期一",1
"真愛找麻煩",50,"星期二",2
"真愛找麻煩",51,"星期三",3
"真愛找麻煩",52,"星期四",5
"真愛找麻煩",53,"星期五",4
"真愛找麻煩",54,"星期一",1
"真愛找麻煩",55,"星期二",2
"真愛找麻煩",56,"星期三",3
"真愛找麻煩",57,"星期四",5
"真愛找麻煩",58,"星期五",4
"真愛找麻煩",59,"星期一",1
"真愛找麻煩",60,"星期二",2
"真愛找麻煩",61,"星期三",3
"真愛找麻煩",62,"星期四",5
"真愛找麻煩",63,"星期五",4
"真愛找麻煩",64,"星期一",1
"真愛找麻煩",65,"星期二",2
"真愛找麻煩",66,"星期三",3
"真愛找麻煩",67,"星期四",5
"真愛找麻煩",68,"星期五",4
"真愛找麻煩",69,"星期一",1
"真愛找麻煩",70,"星期二",2
"真愛找麻煩",71,"星期三",3
"真愛找麻煩",72,"星期四",5
"真愛找麻煩",73,"星期五",4
"真愛找麻煩",74,"星期一",1
"真愛找麻煩",75,"星期二",2
"真愛找麻煩",76,"星期三",3
"真愛找麻煩",77,"星期四",5
"真愛找麻煩",78,"星期五",4
"真愛找麻煩",79,"星期一",1
"真愛找麻煩",80,"星期二",2
"真愛找麻煩",81,"星期三",3
"真愛找麻煩",82,"星期四",5
"真愛找麻煩",83,"星期五",4
"真愛找麻煩",84,"星期一",1
"剩女保鑣",1,"星期二",2
"剩女保鑣",2,"星期三",3
"剩女保鑣",3,"星期四",5
"剩女保鑣",4,"星期五",4
"剩女保鑣",5,"星期一",1
"剩女保鑣",6,"星期二",2
"剩女保鑣",7,"星期三",3
"剩女保鑣",8,"星期四",5
"剩女保鑣",9,"星期五",4
"剩女保鑣",10,"星期一",1
"剩女保鑣",11,"星期二",2
"剩女保鑣",12,"星期三",3
"剩女保鑣",13,"星期四",5
"剩女保鑣",14,"星期五",4
"剩女保鑣",15,"星期一",1
"剩女保鑣",16,"星期二",2
"剩女保鑣",17,"星期三",3
"剩女保鑣",18,"星期四",5
"剩女保鑣",19,"星期五",4
"剩女保鑣",20,"星期一",1
"剩女保鑣",21,"星期二",2
"剩女保鑣",22,"星期三",3
"剩女保鑣",23,"星期四",5
"剩女保鑣",24,"星期五",4
"剩女保鑣",25,"星期一",1
"剩女保鑣",26,"星期二",2
"剩女保鑣",27,"星期三",3
"剩女保鑣",28,"星期四",5
"剩女保鑣",29,"星期五",4
"剩女保鑣",30,"星期一",1
"剩女保鑣",31,"星期二",2
"剩女保鑣",32,"星期三",3
"剩女保鑣",33,"星期四",5
"剩女保鑣",34,"星期五",4
"剩女保鑣",35,"星期一",1
"剩女保鑣",36,"星期二",2
"剩女保鑣",37,"星期三",3
"剩女保鑣",38,"星期四",5
"剩女保鑣",39,"星期五",4
"剩女保鑣",40,"星期一",1
"剩女保鑣",41,"星期二",2
"剩女保鑣",42,"星期三",3
"剩女保鑣",43,"星期四",5
"剩女保鑣",44,"星期五",4
"剩女保鑣",45,"星期一",1
"剩女保鑣",46,"星期二",2
"剩女保鑣",47,"星期三",3
"剩女保鑣",48,"星期四",5
"剩女保鑣",49,"星期五",4
"剩女保鑣",50,"星期一",1
"剩女保鑣",51,"星期二",2
"剩女保鑣",52,"星期三",3
"剩女保鑣",53,"星期四",5
"剩女保鑣",54,"星期五",4
"剩女保鑣",55,"星期一",1
"剩女保鑣",56,"星期二",2
"剩女保鑣",57,"星期三",3
"剩女保鑣",58,"星期四",5
"剩女保鑣",59,"星期五",4
"剩女保鑣",60,"星期一",1
"剩女保鑣",61,"星期二",2
"剩女保鑣",62,"星期三",3
"剩女保鑣",63,"星期四",5
"剩女保鑣",64,"星期五",4
"剩女保鑣",65,"星期一",1
"剩女保鑣",66,"星期二",2
"剩女保鑣",67,"星期三",3
"剩女保鑣",68,"星期四",5
"剩女保鑣",69,"星期五",4
"剩女保鑣",70,"星期一",1
"剩女保鑣",71,"星期二",2
"剩女保鑣",72,"星期三",3
"剩女保鑣",73,"星期四",5
"剩女保鑣",74,"星期一",1
"剩女保鑣",75,"星期二",2
"剩女保鑣",76,"星期三",3
"剩女保鑣",77,"星期四",5
"剩女保鑣",78,"星期一",1
"剩女保鑣",79,"星期二",2
"剩女保鑣",80,"星期三",3
"剩女保鑣",81,"星期四",5
"剩女保鑣",82,"星期一",1
"愛上巧克力",1,"星期二",2
"愛上巧克力",2,"星期三",3
"愛上巧克力",3,"星期四",5
"愛上巧克力",4,"星期五",4
"愛上巧克力",5,"星期一",1
"愛上巧克力",6,"星期二",2
"愛上巧克力",7,"星期三",3
"愛上巧克力",8,"星期四",5
"愛上巧克力",9,"星期五",4
"愛上巧克力",10,"星期一",1
"愛上巧克力",11,"星期二",2
"愛上巧克力",12,"星期三",3
"愛上巧克力",13,"星期四",5
"愛上巧克力",14,"星期五",4
"愛上巧克力",15,"星期一",1
"愛上巧克力",16,"星期二",2
"愛上巧克力",17,"星期三",3
"愛上巧克力",18,"星期四",5
"愛上巧克力",19,"星期五",4
"愛上巧克力",20,"星期一",1
"愛上巧克力",21,"星期二",2
"愛上巧克力",22,"星期三",3
"愛上巧克力",23,"星期四",5
"愛上巧克力",24,"星期五",4
"愛上巧克力",25,"星期一",1
"愛上巧克力",26,"星期二",2
"愛上巧克力",27,"星期三",3
"愛上巧克力",28,"星期四",5
"愛上巧克力",29,"星期五",4
"愛上巧克力",30,"星期一",1
"愛上巧克力",31,"星期二",2
"愛上巧克力",32,"星期三",3
"愛上巧克力",33,"星期四",5
"愛上巧克力",34,"星期五",4
"愛上巧克力",35,"星期一",1
"愛上巧克力",36,"星期二",2
"愛上巧克力",37,"星期三",3
"愛上巧克力",38,"星期四",5
"愛上巧克力",39,"星期五",4
"愛上巧克力",40,"星期一",1
"愛上巧克力",41,"星期二",2
"愛上巧克力",42,"星期三",3
"愛上巧克力",43,"星期四",5
"愛上巧克力",44,"星期五",4
"愛上巧克力",45,"星期一",1
"愛上巧克力",46,"星期二",2
"愛上巧克力",47,"星期三",3
"愛上巧克力",48,"星期四",5
"愛上巧克力",49,"星期五",4
"愛上巧克力",50,"星期一",1
"愛上巧克力",51,"星期二",2
"愛上巧克力",52,"星期三",3
"愛上巧克力",53,"星期四",5
"愛上巧克力",54,"星期五",4
"愛上巧克力",55,"星期一",1
"愛上巧克力",56,"星期二",2
"愛上巧克力",57,"星期三",3
"愛上巧克力",58,"星期四",5
"愛上巧克力",59,"星期五",4
"愛上巧克力",60,"星期一",1
"愛上巧克力",61,"星期二",2
"愛上巧克力",62,"星期三",3
"愛上巧克力",63,"星期四",5
"愛上巧克力",64,"星期五",4
"愛上巧克力",65,"星期一",1
"愛上巧克力",66,"星期二",2
"愛上巧克力",67,"星期三",3
"愛上巧克力",68,"星期四",5
"愛上巧克力",69,"星期五",4
"愛上巧克力",70,"星期一",1
"愛上巧克力",71,"星期二",2
"愛上巧克力",72,"星期三",3
"愛上巧克力",73,"星期四",5
"愛上巧克力",74,"星期五",4
"愛上巧克力",75,"星期一",1
"愛上巧克力",76,"星期二",2
"愛上巧克力",77,"星期三",3
"愛上巧克力",78,"星期四",5
"愛上巧克力",79,"星期五",4
"我們發財了",1,"星期三",3
"我們發財了",2,"星期四",5
"我們發財了",3,"星期五",4
"我們發財了",4,"星期一",1
"我們發財了",5,"星期二",2
"我們發財了",6,"星期三",3
"我們發財了",7,"星期四",5
"我們發財了",8,"星期五",4
"我們發財了",9,"星期一",1
"我們發財了",10,"星期二",2
"我們發財了",11,"星期三",3
"我們發財了",12,"星期四",5
"我們發財了",13,"星期五",4
"我們發財了",14,"星期一",1
"我們發財了",15,"星期二",2
"我們發財了",16,"星期三",3
"我們發財了",17,"星期四",5
"我們發財了",18,"星期五",4
"我們發財了",19,"星期一",1
"我們發財了",20,"星期二",2
"我們發財了",21,"星期三",3
"我們發財了",22,"星期四",5
"我們發財了",23,"星期五",4
"我們發財了",24,"星期一",1
"我們發財了",25,"星期二",2
"我們發財了",26,"星期三",3
"我們發財了",27,"星期四",5
"我們發財了",28,"星期五",4
"我們發財了",29,"星期一",1
"我們發財了",30,"星期二",2
"我們發財了",31,"星期三",3
"我們發財了",32,"星期四",5
"我們發財了",33,"星期五",4
"我們發財了",34,"星期一",1
"我們發財了",35,"星期二",2
"我們發財了",36,"星期三",3
"我們發財了",37,"星期四",5
"我們發財了",38,"星期五",4
"我們發財了",39,"星期一",1
"我們發財了",40,"星期二",2
"我們發財了",41,"星期三",3
"我們發財了",42,"星期四",5
"我們發財了",43,"星期五",4
"我們發財了",44,"星期一",1
"我們發財了",45,"星期二",2
"我們發財了",46,"星期三",3
"我們發財了",47,"星期四",5
"我們發財了",48,"星期五",4
"我們發財了",49,"星期一",1
"我們發財了",50,"星期二",2
"我們發財了",51,"星期三",3
"我們發財了",52,"星期四",5
"我們發財了",53,"星期五",4
"我們發財了",54,"星期一",1
"我們發財了",55,"星期二",2
"我們發財了",56,"星期三",3
"我們發財了",57,"星期四",5
"我們發財了",58,"星期五",4
"我們發財了",59,"星期一",1
"我們發財了",60,"星期二",2
"我們發財了",61,"星期三",3
"我們發財了",62,"星期四",5
"我們發財了",63,"星期五",4
"我們發財了",64,"星期一",1
"我們發財了",65,"星期二",2
"我們發財了",66,"星期三",3
"我們發財了",67,"星期四",5
"我們發財了",68,"星期五",4
"我們發財了",69,"星期一",1
"我們發財了",70,"星期二",2
"我們發財了",71,"星期三",3
"我們發財了",72,"星期四",5
"我們發財了",73,"星期五",4
"我們發財了",74,"星期一",1
"我們發財了",75,"星期二",2
"我們發財了",76,"星期三",3
"我們發財了",77,"星期四",5
"我們發財了",78,"星期五",4
"我們發財了",79,"星期一",1
"我們發財了",80,"星期二",2
"我們發財了",81,"星期三",3
"我們發財了",82,"星期四",5
"我們發財了",83,"星期五",4
"我們發財了",84,"星期一",1
"我們發財了",85,"星期二",2
"我們發財了",86,"星期三",3
"我們發財了",87,"星期四",5
"我們發財了",88,"星期五",4
"我們發財了",89,"星期一",1
"美味的想念",1,"星期三",3
"美味的想念",2,"星期四",5
"美味的想念",3,"星期一",1
"美味的想念",4,"星期二",2
"美味的想念",5,"星期三",3
"美味的想念",6,"星期四",5
"美味的想念",7,"星期一",1
"美味的想念",8,"星期二",2
"美味的想念",9,"星期三",3
"美味的想念",10,"星期四",5
"美味的想念",11,"星期一",1
"美味的想念",12,"星期二",2
"美味的想念",13,"星期三",3
"美味的想念",14,"星期四",5
"美味的想念",15,"星期一",1
"美味的想念",16,"星期二",2
"美味的想念",17,"星期三",3
"美味的想念",18,"星期四",5
"美味的想念",19,"星期一",1
"美味的想念",20,"星期二",2
"美味的想念",21,"星期三",3
"美味的想念",22,"星期四",5
"美味的想念",23,"星期一",1
"美味的想念",24,"星期二",2
"美味的想念",25,"星期三",3
"美味的想念",26,"星期四",5
"美味的想念",27,"星期一",1
"美味的想念",28,"星期二",2
"美味的想念",29,"星期三",3
"美味的想念",30,"星期四",5
"美味的想念",31,"星期一",1
"美味的想念",32,"星期二",2
"美味的想念",33,"星期三",3
"美味的想念",34,"星期四",5
"美味的想念",35,"星期一",1
"美味的想念",36,"星期二",2
"美味的想念",37,"星期三",3
"美味的想念",38,"星期四",5
"兩個爸爸",1,"星期二",2
"兩個爸爸",2,"星期三",3
"兩個爸爸",3,"星期四",5
"兩個爸爸",4,"星期一",1
"兩個爸爸",5,"星期二",2
"兩個爸爸",6,"星期三",3
"兩個爸爸",7,"星期四",5
"兩個爸爸",8,"星期一",1
"兩個爸爸",9,"星期二",2
"兩個爸爸",10,"星期三",3
"兩個爸爸",11,"星期四",5
"兩個爸爸",12,"星期一",1
"兩個爸爸",13,"星期二",2
"兩個爸爸",14,"星期三",3
"兩個爸爸",15,"星期四",5
"兩個爸爸",16,"星期一",1
"兩個爸爸",17,"星期二",2
"兩個爸爸",18,"星期三",3
"兩個爸爸",19,"星期四",5
"兩個爸爸",20,"星期一",1
"兩個爸爸",21,"星期二",2
"兩個爸爸",22,"星期三",3
"兩個爸爸",23,"星期四",5
"兩個爸爸",24,"星期一",1
"兩個爸爸",25,"星期二",2
"兩個爸爸",26,"星期三",3
"兩個爸爸",27,"星期四",5
"兩個爸爸",28,"星期一",1
"兩個爸爸",29,"星期二",2
"兩個爸爸",30,"星期三",3
"兩個爸爸",31,"星期四",5
"兩個爸爸",32,"星期一",1
"兩個爸爸",33,"星期二",2
"兩個爸爸",34,"星期三",3
"兩個爸爸",35,"星期四",5
"兩個爸爸",36,"星期一",1
"兩個爸爸",37,"星期二",2
"兩個爸爸",38,"星期三",3
"兩個爸爸",39,"星期四",5
"兩個爸爸",40,"星期一",1
"兩個爸爸",41,"星期二",2
"兩個爸爸",42,"星期三",3
"兩個爸爸",43,"星期四",5
"兩個爸爸",44,"星期一",1
"兩個爸爸",45,"星期二",2
"兩個爸爸",46,"星期三",3
"兩個爸爸",47,"星期四",5
"兩個爸爸",48,"星期一",1
"兩個爸爸",49,"星期二",2
"兩個爸爸",50,"星期三",3
"兩個爸爸",51,"星期四",5
"兩個爸爸",52,"星期五",4
"兩個爸爸",53,"星期一",1
"兩個爸爸",54,"星期二",2
"兩個爸爸",55,"星期三",3
"兩個爸爸",56,"星期四",5
"兩個爸爸",57,"星期五",4
"兩個爸爸",58,"星期一",1
"兩個爸爸",59,"星期二",2
"兩個爸爸",60,"星期三",3
